================================================================
ALPHA TERMINAL — ALL PICKS  |  2026-03-13
================================================================
Games: 8  |  Prop lines scored: 232
NOTE: AST legs marked [!] — model hit rate 41% (below random), bet at own risk
================================================================

MONEYLINES
──────────────────────────────────────────────────────────────
  Team                            Model%  Side   ML Odds  vs
──────────────────────────────────────────────────────────────
  Detroit Pistons                  90.3%  home     -1350  vs Memphis Grizzlies
  New York Knicks                  88.4%  away      -950  vs Indiana Pacers
  Portland Trail Blazers           87.3%  home     -1200  vs Utah Jazz
  Los Angeles Clippers             82.3%  home      -670  vs Chicago Bulls
  Cleveland Cavaliers              71.5%  away      -700  vs Dallas Mavericks
  Houston Rockets                  70.5%  home      -260  vs New Orleans Pelicans
  Toronto Raptors                  52.0%  home      -176  vs Phoenix Suns
  Golden State Warriors            50.9%  home      +180  vs Minnesota Timberwolves
  Minnesota Timberwolves           49.1%  away      -220  vs Golden State Warriors
  Phoenix Suns                     48.0%  away      +148  vs Toronto Raptors
  New Orleans Pelicans             29.4%  away      +215  vs Houston Rockets
  Dallas Mavericks                 28.5%  home      +490  vs Cleveland Cavaliers
  Chicago Bulls                    17.7%  away      +490  vs Los Angeles Clippers
  Utah Jazz                        12.7%  away      +750  vs Portland Trail Blazers
  Indiana Pacers                   11.6%  home      +640  vs New York Knicks
  Memphis Grizzlies                 9.7%  away      +810  vs Detroit Pistons
──────────────────────────────────────────────────────────────

PROP LEGS  (sorted by model probability — highest first)
──────────────────────────────────────────────────────────────
  Player                     Stat   Line   Proj  Model%  Conf    Odds   Matchup
──────────────────────────────────────────────────────────────
  Derik Queen                pts     7.5   12.4   86.0%  HIGH    -114   Pelicans @ Rockets
  Jeremiah Fears             reb     2.5    5.1   85.2%  HIGH    -112   Pelicans @ Rockets
  Jeremiah Fears             ast[!]  2.5    4.5   82.4%  HIGH    +110   Pelicans @ Rockets
  Jeremiah Fears             pts     9.5   14.7   81.2%  HIGH    +100   Pelicans @ Rockets
  Ty Jerome                  pts    16.5   20.5   80.1%  HIGH    -122   Grizzlies @ Pistons
  Pascal Siakam              pts    21.5   25.5   77.9%  HIGH    -112   Knicks @ Pacers
  Sandro Mamukelashvili      pts     8.5   12.2   77.1%  HIGH    -116   Suns @ Raptors
  Collin Gillespie           reb     3.5    4.8   74.5%  HIGH    -159   Suns @ Raptors
  Jaylon Tyson               pts    10.5   13.2   74.4%  HIGH    -102   Cavaliers @ Mavericks
  Donovan Clingan            ast[!]  1.5    2.6   74.1%  HIGH    -183   Jazz @ Blazers
  Kevin Huerter              reb     2.5    4.3   73.4%  HIGH    +112   Grizzlies @ Pistons
  Derik Queen                reb     4.5    6.8   72.5%  HIGH    -123   Pelicans @ Rockets
  Reed Sheppard              reb     2.5    3.5   71.7%  HIGH    -148   Pelicans @ Rockets
  Will Richard               pts     7.5   10.8   71.4%  HIGH    -125   Timberwolves @ Warriors
  Grayson Allen              pts    14.5   18.0   70.8%  HIGH    -101   Suns @ Raptors
  Josh Giddey                ast[!]  8.5   10.1   68.0%  HIGH    -127   Bulls @ Clippers
  Daniel Gafford             pts     9.5   12.6   67.3%  HIGH    -102   Cavaliers @ Mavericks
  Dean Wade                  reb     4.5    5.5   66.5%  HIGH    -119   Cavaliers @ Mavericks
  Karl-Anthony Towns         ast[!]  2.5    3.4   65.8%  LOW     -169   Knicks @ Pacers
  Jalen Duren                pts    19.5   21.8   65.8%  HIGH    -108   Grizzlies @ Pistons
  Kobe Sanders               pts     7.5    9.1   65.1%  HIGH    +104   Bulls @ Clippers
  Donovan Clingan            reb    10.5   12.3   64.8%  HIGH    -114   Jazz @ Blazers
  Dean Wade                  pts     5.5    7.6   64.6%  HIGH    -106   Cavaliers @ Mavericks
  Grayson Allen              ast[!]  3.5    4.4   64.1%  HIGH    +118   Suns @ Raptors
  Ty Jerome                  ast[!]  4.5    5.3   61.9%  HIGH    -110   Grizzlies @ Pistons
  Aaron Nesmith              pts    11.5   14.2   61.4%  HIGH    -111   Knicks @ Pacers
  Jaylen Wells               pts    12.5   14.4   60.7%  HIGH    +100   Grizzlies @ Pistons
  Gui Santos                 ast[!]  2.5    3.1   60.7%  LOW     -156   Timberwolves @ Warriors
  Cody Williams              ast[!]  2.5    3.1   60.4%  HIGH    +138   Jazz @ Blazers
  Cedric Coward              reb     5.5    7.0   60.2%  HIGH    +111   Grizzlies @ Pistons
  Daniel Gafford             reb     7.5    8.5   59.9%  LOW     -102   Cavaliers @ Mavericks
  Royce O'Neale              pts     8.5   10.1   59.7%  LOW     +102   Suns @ Raptors
  Immanuel Quickley          pts    15.5   17.5   59.5%  LOW     -127   Suns @ Raptors
  Taylor Hendricks           pts     9.5   11.4   58.9%  LOW     -101   Grizzlies @ Pistons
  Kyle Filipowski            reb     8.5    9.6   58.6%  LOW     -108   Jazz @ Blazers
  Devin Booker               reb     3.5    4.1   58.0%  LOW     -111   Suns @ Raptors
  Derik Queen                ast[!]  2.5    3.0   58.0%  LOW     -135   Pelicans @ Rockets
  Jalen Green                pts    18.5   20.9   57.7%  LOW     -118   Suns @ Raptors
  Marcus Sasser              pts     8.5   10.2   57.4%  LOW     -128   Grizzlies @ Pistons
  Gui Santos                 reb     5.5    6.3   57.0%  LOW     -137   Timberwolves @ Warriors
  Ayo Dosunmu                pts     9.5   11.3   55.0%  LOW     -120   Timberwolves @ Warriors
  Naji Marshall              ast[!]  2.5    2.9   54.6%  LOW     -162   Cavaliers @ Mavericks
  OG Anunoby                 pts    16.5   18.2   54.6%  LOW     -118   Knicks @ Pacers
  Isaiah Collier             pts    15.5   16.5   54.6%  LOW     +106   Jazz @ Blazers
  Dejounte Murray            pts    16.5   17.2   54.4%  LOW     -104   Pelicans @ Rockets
  Jalen Brunson              ast[!]  7.5    7.9   53.6%  LOW     -106   Knicks @ Pacers
  Toumani Camara             reb     5.5    6.0   53.6%  LOW     +114   Jazz @ Blazers
  Cody Williams              reb     3.5    4.1   53.3%  LOW     +122   Jazz @ Blazers
  Kevin Durant               reb     5.5    5.7   53.2%  LOW     +118   Pelicans @ Rockets
  Oso Ighodaro               pts     6.5    7.3   53.2%  LOW     -119   Suns @ Raptors
  Draymond Green             pts     8.5    9.7   52.8%  LOW     -115   Timberwolves @ Warriors
  Keon Ellis                 pts     8.5   10.0   52.5%  LOW     +102   Cavaliers @ Mavericks
  Grayson Allen              reb     2.5    2.8   52.1%  LOW     -123   Suns @ Raptors
  Cedric Coward              pts    11.5   12.3   51.9%  LOW     -102   Grizzlies @ Pistons
  Donte DiVincenzo           reb     3.5    3.6   51.6%  LOW     -110   Timberwolves @ Warriors
  Brook Lopez                pts    10.5   11.4   51.6%  LOW     -102   Bulls @ Clippers
  Max Christie               reb     2.5    2.8   51.0%  LOW     -132   Cavaliers @ Mavericks
  Jrue Holiday               reb     3.5    3.8   50.8%  LOW     -155   Jazz @ Blazers
  Ty Jerome                  reb     2.5    2.9   50.7%  LOW     -115   Grizzlies @ Pistons
  Scoot Henderson            reb     2.5    2.7   50.7%  LOW     -108   Jazz @ Blazers
  Julius Randle              reb     6.5    6.5   50.6%  LOW     -132   Timberwolves @ Warriors
  Cooper Flagg               reb     6.5    6.8   50.5%  LOW     -116   Cavaliers @ Mavericks
  Draymond Green             reb     4.5    4.7   50.3%  LOW     -154   Timberwolves @ Warriors
  Trey Murphy III            pts    20.5   21.3   49.8%  LOW     -102   Pelicans @ Rockets
  Mikal Bridges              reb     3.5    3.7   49.6%  LOW     -159   Knicks @ Pacers
  Olivier-Maxence Prosper    reb     4.5    4.7   49.6%  LOW     -114   Grizzlies @ Pistons
  Cody Williams              pts     8.5    8.7   49.5%  LOW     -119   Jazz @ Blazers
  Sam Merrill                reb     2.5    2.5   49.4%  LOW     -154   Cavaliers @ Mavericks
  Trey Murphy III            reb     4.5    4.7   49.3%  LOW     -120   Pelicans @ Rockets
  Karl-Anthony Towns         pts    20.5   20.8   48.6%  LOW     -105   Knicks @ Pacers
  Deni Avdija                reb     6.5    6.4   48.6%  LOW     +111   Jazz @ Blazers
  Naz Reid                   pts    11.5   12.1   48.5%  LOW     -121   Timberwolves @ Warriors
