Backtest vertical: crypto
Days: 1000

Day	Equity
2023-06-24 00:00:00	0.00
2023-06-25 00:00:00	97902.36
2023-06-26 00:00:00	0.00
2023-06-27 00:00:00	0.00
2023-06-28 00:00:00	0.00
2023-06-29 00:00:00	102636.94
2023-06-30 00:00:00	102030.57
2023-07-01 00:00:00	102582.28
2023-07-02 00:00:00	103022.44
2023-07-03 00:00:00	101853.79
2023-07-04 00:00:00	100422.63
2023-07-05 00:00:00	98776.41
2023-07-06 00:00:00	104198.25
2023-07-07 00:00:00	105700.64
2023-07-08 00:00:00	103325.89
2023-07-09 00:00:00	103228.96
2023-07-10 00:00:00	105052.89
2023-07-11 00:00:00	103750.44
2023-07-12 00:00:00	115968.42
2023-07-13 00:00:00	109903.78
2023-07-14 00:00:00	110770.75
2023-07-15 00:00:00	110814.82
2023-07-16 00:00:00	109888.26
2023-07-17 00:00:00	109465.48
2023-07-18 00:00:00	111712.69
2023-07-19 00:00:00	110125.81
2023-07-20 00:00:00	109566.23
2023-07-21 00:00:00	105964.17
2023-07-22 00:00:00	106770.35
2023-07-23 00:00:00	102494.39
2023-07-24 00:00:00	102771.44
2023-07-25 00:00:00	107489.00
2023-07-26 00:00:00	107174.42
2023-07-27 00:00:00	106434.01
2023-07-28 00:00:00	107191.93
2023-07-29 00:00:00	104668.43
2023-07-30 00:00:00	103026.29
2023-07-31 00:00:00	104407.69
2023-08-01 00:00:00	101170.84
2023-08-02 00:00:00	99415.41
2023-08-03 00:00:00	97484.83
2023-08-04 00:00:00	96441.88
2023-08-05 00:00:00	96441.88
2023-08-06 00:00:00	96005.67
2023-08-07 00:00:00	97234.99
2023-08-08 00:00:00	96679.81
2023-08-09 00:00:00	95767.74
2023-08-10 00:00:00	95553.60
2023-08-11 00:00:00	96679.13
2023-08-12 00:00:00	94039.96
2023-08-13 00:00:00	97727.04
2023-08-14 00:00:00	92759.18
2023-08-15 00:00:00	88567.55
2023-08-16 00:00:00	84065.44
2023-08-17 00:00:00	0.00
2023-08-18 00:00:00	0.00
2023-08-19 00:00:00	0.00
2023-08-20 00:00:00	0.00
2023-08-21 00:00:00	0.00
2023-08-22 00:00:00	0.00
2023-08-23 00:00:00	0.00
2023-08-24 00:00:00	0.00
2023-08-25 00:00:00	0.00
2023-08-26 00:00:00	0.00
2023-08-27 00:00:00	0.00
2023-08-28 00:00:00	0.00
2023-08-29 00:00:00	0.00
2023-08-30 00:00:00	0.00
2023-08-31 00:00:00	0.00
2023-09-01 00:00:00	0.00
2023-09-02 00:00:00	0.00
2023-09-03 00:00:00	0.00
2023-09-04 00:00:00	0.00
2023-09-05 00:00:00	0.00
2023-09-06 00:00:00	0.00
2023-09-07 00:00:00	0.00
2023-09-08 00:00:00	0.00
2023-09-09 00:00:00	0.00
2023-09-10 00:00:00	0.00
2023-09-11 00:00:00	0.00
2023-09-12 00:00:00	0.00
2023-09-13 00:00:00	0.00
2023-09-14 00:00:00	0.00
2023-09-15 00:00:00	0.00
2023-09-16 00:00:00	0.00
2023-09-17 00:00:00	0.00
2023-09-18 00:00:00	85471.89
2023-09-19 00:00:00	85204.08
2023-09-20 00:00:00	83454.70
2023-09-21 00:00:00	83492.58
2023-09-22 00:00:00	83479.45
2023-09-23 00:00:00	82450.47
2023-09-24 00:00:00	82627.72
2023-09-25 00:00:00	82366.57
2023-09-26 00:00:00	0.00
2023-09-27 00:00:00	0.00
2023-09-28 00:00:00	82017.76
2023-09-29 00:00:00	83165.43
2023-09-30 00:00:00	87233.67
2023-10-01 00:00:00	85297.73
2023-10-02 00:00:00	86168.42
2023-10-03 00:00:00	85726.62
2023-10-04 00:00:00	84192.94
2023-10-05 00:00:00	85797.95
2023-10-06 00:00:00	85408.19
2023-10-07 00:00:00	85123.15
2023-10-08 00:00:00	82555.89
2023-10-09 00:00:00	82029.46
2023-10-10 00:00:00	81073.38
2023-10-11 00:00:00	79554.11
2023-10-12 00:00:00	80753.04
2023-10-13 00:00:00	81034.53
2023-10-14 00:00:00	81360.80
2023-10-15 00:00:00	87125.35
2023-10-16 00:00:00	86912.52
2023-10-17 00:00:00	85870.20
2023-10-18 00:00:00	89235.32
2023-10-19 00:00:00	94478.20
2023-10-20 00:00:00	98863.66
2023-10-21 00:00:00	99469.23
2023-10-22 00:00:00	106372.19
2023-10-23 00:00:00	106029.57
2023-10-24 00:00:00	107407.07
2023-10-25 00:00:00	107639.10
2023-10-26 00:00:00	106192.01
2023-10-27 00:00:00	106419.52
2023-10-28 00:00:00	108313.26
2023-10-29 00:00:00	110780.12
2023-10-30 00:00:00	113802.24
2023-10-31 00:00:00	116860.09
2023-11-01 00:00:00	115643.81
2023-11-02 00:00:00	115542.83
2023-11-03 00:00:00	118592.76
2023-11-04 00:00:00	120773.37
2023-11-05 00:00:00	124584.51
2023-11-06 00:00:00	123176.96
2023-11-07 00:00:00	123604.34
2023-11-08 00:00:00	128399.39
2023-11-09 00:00:00	133923.62
2023-11-10 00:00:00	133507.18
2023-11-11 00:00:00	132833.28
2023-11-12 00:00:00	129990.77
2023-11-13 00:00:00	129580.07
2023-11-14 00:00:00	138210.51
2023-11-15 00:00:00	129708.56
2023-11-16 00:00:00	130632.27
2023-11-17 00:00:00	130519.93
2023-11-18 00:00:00	133687.81
2023-11-19 00:00:00	132047.07
2023-11-20 00:00:00	123070.78
2023-11-21 00:00:00	131544.76
2023-11-22 00:00:00	130508.12
2023-11-23 00:00:00	131218.43
2023-11-24 00:00:00	132851.27
2023-11-25 00:00:00	131078.25
2023-11-26 00:00:00	128196.50
2023-11-27 00:00:00	131714.05
2023-11-28 00:00:00	132193.95
2023-11-29 00:00:00	132537.21
2023-11-30 00:00:00	134754.63
2023-12-01 00:00:00	140253.48
2023-12-02 00:00:00	140981.84
2023-12-03 00:00:00	143435.92
2023-12-04 00:00:00	145059.38
2023-12-05 00:00:00	145441.84
2023-12-06 00:00:00	150683.11
2023-12-07 00:00:00	157209.12
2023-12-08 00:00:00	154312.71
2023-12-09 00:00:00	156140.52
2023-12-10 00:00:00	151838.70
2023-12-11 00:00:00	152315.49
2023-12-12 00:00:00	155104.35
2023-12-13 00:00:00	158557.70
2023-12-14 00:00:00	153278.24
2023-12-15 00:00:00	154324.92
2023-12-16 00:00:00	150818.17
2023-12-17 00:00:00	154727.34
2023-12-18 00:00:00	154711.85
2023-12-19 00:00:00	162428.59
2023-12-20 00:00:00	170883.71
2023-12-21 00:00:00	174299.53
2023-12-22 00:00:00	178154.73
2023-12-23 00:00:00	177397.02
2023-12-24 00:00:00	181882.07
2023-12-25 00:00:00	179461.37
2023-12-26 00:00:00	184711.57
2023-12-27 00:00:00	181542.72
2023-12-28 00:00:00	180315.93
2023-12-29 00:00:00	179068.16
2023-12-30 00:00:00	178080.53
2023-12-31 00:00:00	185273.11
2024-01-01 00:00:00	184334.00
2024-01-02 00:00:00	175439.79
2024-01-03 00:00:00	181857.65
2024-01-04 00:00:00	178860.34
2024-01-05 00:00:00	173960.49
2024-01-06 00:00:00	170816.34
2024-01-07 00:00:00	180351.14
2024-01-08 00:00:00	180436.14
2024-01-09 00:00:00	187490.83
2024-01-10 00:00:00	187378.70
2024-01-11 00:00:00	176663.91
2024-01-12 00:00:00	180327.82
2024-01-13 00:00:00	175950.13
2024-01-14 00:00:00	180364.64
2024-01-15 00:00:00	183809.89
2024-01-16 00:00:00	184146.10
2024-01-17 00:00:00	178790.55
2024-01-18 00:00:00	179132.92
2024-01-19 00:00:00	179125.97
2024-01-20 00:00:00	178979.25
2024-01-21 00:00:00	170209.20
2024-01-22 00:00:00	165600.82
2024-01-23 00:00:00	162441.77
2024-01-24 00:00:00	161887.55
2024-01-25 00:00:00	0.00
2024-01-26 00:00:00	0.00
2024-01-27 00:00:00	0.00
